,date,text,followers,polarity,sentiment_confidence,clusters
52,2019-11-24 22:34:27,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',246,0.7,0.4,0
53,2019-11-24 22:34:26,b'RT @valerie2350: Ad: So much fun! DreamWorks Ultimate Holiday Collection Blu-ray https://t.co/kXktpKBbcO https://t.co/xvd4i6wvHs',50,0.1875,0.6,3
54,2019-11-24 22:34:23,b'RT @primevideouk: \xf0\x9f\x92\xb8#WIN \xc2\xa3300 ahead of Black Friday \xf0\x9f\x92\xb8Follow us and comment with your favourite Amazon Prime Video show for a chance to win 1\xe2\x80\xa6',348,0.3166666666666667,0.4166666666666667,3
55,2019-11-24 22:34:21,b'RT @Nintendeal: Team Sonic Racing (Switch) is 50% off / $19.99\n\nAmazon: https://t.co/Lr2qCRNWzO\nGameStop: https://t.co/aznP3xvPdm\nBest Buy:\xe2\x80\xa6',34,0.0,0.0,1
56,2019-11-24 22:34:17,"b""@pbmcmlxxi Hello Paul! Thanks for reaching out. We'd like to confirm if you're referring to this app:\xe2\x80\xa6 https://t.co/rCF6odGTmP""",251368,0.2,0.2,2
57,2019-11-24 22:34:13,b'Aytai Christmas Tree Skirt 48 Inch Rustic Tree Skirts White Snowflake Printed Christmas Decorations Indoor Outdoor\xe2\x80\xa6 https://t.co/aDLs9ZeUHL',0,0.0,0.0,1
58,2019-11-24 22:34:12,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',145,0.7,0.4,0
59,2019-11-24 22:34:11,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',69,0.7,0.4,0
60,2019-11-24 22:34:09,b'STEAL!!\n  \n3 in 1 Wireless Charging Dock for $20!!\n\nSave 40% with promo code 40IO5SKG\n\nhttps://t.co/3795VciHl0\xe2\x80\xa6 https://t.co/3Dy1EDrctx',1120,0.0,0.0,1
61,2019-11-24 22:34:04,"b'RT @FatKidDeals: STEAL!   \n  \nBrand new Elgato Stream Deck for $99.99, retail $149.99!!\n\nhttps://t.co/OarKqS6Bku\n\n#FKDBF https://t.co/wFyfj\xe2\x80\xa6'",1956,0.13636363636363635,0.4545454545454545,3
62,2019-11-24 22:34:03,"b'\xe2\x9a\xa1\xef\xb8\x8fLightning Deal, 81% off\nSilver Cubic Zirconia Box Chain Necklace $14.98 (Reg. $79.98)!\nhttps://t.co/5bRhS4e7UH\xe2\x80\xa6 https://t.co/KtAsiOijLV'",33,0.0,0.0,1
63,2019-11-24 22:34:00,"b'RT @JennyBurnley1: ""A great #sciencefiction adventure story.""\n ZENZORIS RETURNS\nhttps://t.co/TmDD1eM48S  \n#Kindle #ebook #fantasy #scifi #b\xe2\x80\xa6'",68519,0.8,0.75,4
64,2019-11-24 22:34:00,b'Days of Wonder Ticket to Ride\n\n46% off\n\n#ad https://t.co/Waxn8wtwSY https://t.co/Dmd1o68fzn',7161,0.0,0.0,1
65,2019-11-24 22:33:58,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',58,0.7,0.4,0
66,2019-11-24 22:33:57,"b'RT @LisetteBrodey: THE GREAT MISTLETOE PROJECT \xf0\x9f\x8e\x84\xf0\x9f\x8e\x84\n\n""The author did a wonderful job of balancing the conflicting emotions her characters bat\xe2\x80\xa6'",6234,0.9,0.875,4
67,2019-11-24 22:33:56,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',61,0.7,0.4,0
68,2019-11-24 22:33:56,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',14,0.7,0.4,0
69,2019-11-24 22:33:56,"b""The Bogleheads' Guide to Investing: https://t.co/ZM2S5hukxe #bogleheads #investing $SPY $VTI $SPX $DIA $QQQ""",1137,0.0,0.0,1
70,2019-11-24 22:33:52,b'5 Tricks Billionaires Use to Make Their Money Work for Them @themotleyfool #stocks $MDT $D $KMB $KO $BAC $GOOG\xe2\x80\xa6 https://t.co/9eDx6EgM7z',520,0.0,0.0,1
71,2019-11-24 22:33:51,b'my best friend gave me this year necklace https://t.co/I1q8DkXjHh and I think I\xe2\x80\x99m going to cry \xf0\x9f\x98\xab \xf0\x9f\x98\xad \xf0\x9f\x92\x9b',595,1.0,0.3,0
72,2019-11-24 22:33:50,"b""RT @sfsignal: This I found: you can get KING'S DRAGON by Kate Elliott for just $2.99 [#sff_eBookDeal] - https://t.co/jYHRPJ2rRe https://t.c\xe2\x80\xa6""",1900,0.0,0.0,1
73,2019-11-24 22:33:50,"b'RT @FatKidDeals: STEAL!!\n  \nBrand new ASUS 144hz Gaming Monitor for $169.99, retail $250!!\n\nhttps://t.co/0B525rxaP4\n\n#FKDBF https://t.co/Hv\xe2\x80\xa6'",390,0.13636363636363635,0.4545454545454545,3
74,2019-11-24 22:33:50,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',195,0.7,0.4,0
75,2019-11-24 22:33:48,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',68,0.7,0.4,0
76,2019-11-24 22:33:43,"b""@caseyloumaybe We're sorry to see that your order arrived in this state. To clarify, which carrier shows as assigne\xe2\x80\xa6 https://t.co/JE9lyyLhSV""",251368,-0.5,1.0,2
77,2019-11-24 22:33:41,b'RT @FatKidDeals: GO FAST!!\n\nPS4 Slim 1TB Game Bundle for $199!!! \n$100 OFF!!\n\nhttps://t.co/KUpwpdmIVh\n\n#FKDBF https://t.co/703FHVcIBx',1205,-0.78125,0.4,3
78,2019-11-24 22:33:41,b'I love this tshirt! Book Lovers Make Better Readers. #books #gifts #booklovers  https://t.co/xCG1fASZcl',44,0.5625,0.55,0
79,2019-11-24 22:33:40,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',228,0.7,0.4,0
80,2019-11-24 22:33:36,"b'RT @peggy_jaeger: #seductivesunday ""HIs mouth! Mio Dio, his mouth!"" ~Gia SanValentino A KISS UNDER THE CHRISTMAS LIGHTS  \n#onsalenow for #9\xe2\x80\xa6'",4476,0.0,0.0,1
81,2019-11-24 22:33:35,b'RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN an Amazon Exclusive @HelloKitty Collectors Box! This box available to pur\xe2\x80\xa6',898,0.7,0.4,0
82,2019-11-24 22:33:35,"b'RT @JerrieAlexander: #KindleUnlimited ""Alexander leaves nothing out of this series. Get ready for a whirlwind of emotions, authentic love s\xe2\x80\xa6'",68519,0.4,0.6166666666666667,4
